symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
ADA-USD,2026-09-25,0.2585,후보 아님 (트렌드 템플릿 3/8),3,False,True,False,False,False,True,True,False,False,True,41.67,-3.23,0.2616,1.22,-1.2,1.59,0.2082,0.2082,0.2006,0.2141,-70.35,False,,,,False,False,0.2326
AVAX-USD,2026-09-25,10.6523,후보 아님 (트렌드 템플릿 3/8),3,False,True,False,False,False,True,True,False,False,True,45.83,-1.89,11.7733,10.52,-9.52,1.64,7.678,7.678,7.5933,8.0312,-66.03,False,,,,False,False,9.5871
BCH-USD,2026-09-25,343.0638,후보 아님 (트렌드 템플릿 3/8),3,False,True,False,False,False,True,True,False,False,True,33.33,-6.09,363.7539,6.03,-5.69,1.55,246.3245,246.3245,267.4744,314.1466,-47.61,False,,,,False,False,308.7574
BNB-USD,2026-09-25,776.799,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,True,True,True,False,False,True,50.0,-0.45,806.5251,3.83,-3.69,1.02,694.5751,694.5751,634.873,632.9298,-40.71,False,,,,False,False,699.1191
BTC-USD,2026-09-25,84034.9219,후보 아님 (트렌드 템플릿 5/8),5,False,True,False,True,True,True,True,False,False,True,54.17,0.0,87363.7578,3.96,-3.81,1.15,75322.961,75322.961,70586.6667,70929.064,-32.64,False,,,,False,False,75631.4297
CRO-USD,2026-09-25,0.0667,후보 아님 (트렌드 템플릿 3/8),3,False,True,False,False,False,True,True,False,False,True,4.17,-26.71,0.069,3.47,-3.36,1.77,0.0558,0.0558,0.0598,0.0629,-69.43,False,,,,False,False,0.06
DOGE-USD,2026-09-25,0.0989,후보 아님 (트렌드 템플릿 3/8),3,False,True,False,False,False,True,True,False,False,True,12.5,-16.4,0.1053,6.4,-6.02,1.52,0.0831,0.0831,0.0857,0.0879,-62.85,False,,,,False,False,0.0891
ETH-USD,2026-09-25,2690.4756,후보 아님 (트렌드 템플릿 5/8),5,False,True,False,True,True,True,True,False,False,True,62.5,11.71,2805.499,4.28,-4.1,0.94,2356.9041,2356.9041,2061.0716,2094.3414,-42.61,False,,,,False,False,2421.428
GRAM-USD,2026-09-25,1.4588,후보 아님 (트렌드 템플릿 5/8),5,False,True,True,True,True,True,False,False,False,True,,,1.4824,1.62,-1.59,1.63,1.3789,1.3789,1.044,0.7836,,False,,,,False,False,1.3129
HBAR-USD,2026-09-25,0.0955,후보 아님 (트렌드 템플릿 3/8),3,False,True,False,False,False,True,True,False,False,True,16.67,-13.44,0.1012,5.97,-5.64,1.9,0.0763,0.0763,0.0784,0.0815,-58.52,False,,,,False,False,0.0859
