symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
000250.KQ,2026-09-23,165700.0,후보 아님 (트렌드 템플릿 2/8),2,False,False,True,False,False,False,True,False,False,True,6.21,-28.75,173500.0,4.71,-4.5,0.34,167420.0,167420.0,382362.6667,363717.0,-86.01,False,,,,False,False,149130.0
0009K0.KQ,2026-09-23,21400.0,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,,,26500.0,23.83,-19.25,0.67,23221.8,23221.8,36178.9333,,,False,,,,False,False,19260.0
003380.KQ,2026-09-23,11030.0,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,True,True,False,False,True,45.52,14.6,11750.0,6.53,-6.13,0.6,10615.6,10615.6,12149.8,12021.15,-43.75,False,,,,False,False,9927.0
005290.KQ,2026-09-23,46800.0,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,True,True,False,False,True,48.28,17.76,43650.0,-6.73,7.22,2.75,41552.0,41552.0,49685.0,47744.0,-29.09,False,,,,False,False,42120.0
006730.KQ,2026-09-23,10600.0,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,True,False,False,False,False,False,True,32.41,4.52,11790.0,11.23,-10.09,0.49,10605.0,10605.0,12194.2667,12616.9,-42.95,False,,,,False,False,9540.0
007390.KQ,2026-09-23,24650.0,후보 아님 (트렌드 템플릿 5/8),5,False,True,True,False,True,True,True,False,False,True,49.66,18.58,28000.0,13.59,-11.96,0.32,23967.0,23967.0,22873.1333,22688.8,-28.65,False,,,,False,False,22185.0
010170.KQ,2026-09-23,17700.0,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,False,True,True,False,True,True,99.31,431.86,18990.0,7.29,-6.79,0.72,12719.6,12719.6,13558.6333,10865.1317,-39.18,False,,,,False,False,15930.0
014620.KQ,2026-09-23,30700.0,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,True,True,False,False,True,37.24,10.43,36400.0,18.57,-15.66,1.07,28528.0,28528.0,32676.3333,31634.5,-36.44,False,,,,False,False,27630.0
023160.KQ,2026-09-23,26400.0,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,True,True,False,False,True,33.79,5.75,29450.0,11.55,-10.36,0.67,24030.0,24030.0,30475.6667,29098.25,-45.57,False,,,,False,False,23760.0
028300.KQ,2026-09-23,30550.0,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,9.66,-24.92,38800.0,27.0,-21.26,0.54,34205.0,34205.0,46330.0,47730.0,-55.21,False,,,,False,False,27495.0
030530.KQ,2026-09-23,28300.0,후보 아님 (트렌드 템플릿 2/8),2,False,False,False,False,False,True,True,False,False,True,68.97,44.71,27850.0,-1.59,1.62,3.81,20062.6,20062.6,25792.5333,28756.4,-41.89,False,,,,False,False,25470.0
031330.KQ,2026-09-23,8240.0,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,False,True,False,True,True,79.31,64.84,8530.0,3.52,-3.4,0.51,8924.8,8924.8,9222.1333,7948.975,-56.31,False,,,,False,False,7416.0
031980.KQ,2026-09-23,163200.0,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,93.79,156.79,174000.0,6.62,-6.21,0.48,126324.0,126324.0,118706.6667,102835.25,-4.0,False,,,,False,False,146880.0
032190.KQ,2026-09-23,19810.0,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,True,False,True,False,False,False,True,42.07,12.87,20800.0,5.0,-4.76,0.58,19393.0,19393.0,21382.8,21215.4,-35.26,False,,,,False,False,17829.0
