symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
000100.KS,2026-09-23,74100.0,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,8.59,-55.08,87100.0,17.54,-14.93,0.7,77818.0,77818.0,85293.3333,91989.5,-40.72,False,,,,False,False,68913.0
000120.KS,2026-09-23,69800.0,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,8.08,-55.16,75500.0,8.17,-7.55,1.16,73628.0,73628.0,90592.0,92887.5,-52.09,False,,,,False,False,64914.0
000150.KS,2026-09-23,1512000.0,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,False,True,True,False,True,True,86.87,16.01,1513000.0,0.07,-0.07,1.03,1227320.0,1227320.0,1342673.3333,1217310.0,-31.37,False,,,,False,False,1406160.0
000240.KS,2026-09-23,24650.0,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,44.44,-35.59,25200.0,2.23,-2.18,1.06,24773.0,24773.0,25380.3333,25706.0,-28.86,False,,,,False,False,22924.5
000270.KS,2026-09-23,115400.0,후보 아님 (트렌드 템플릿 2/8),2,False,False,True,True,False,False,False,False,False,True,17.68,-48.99,135800.0,17.68,-15.02,0.93,130774.0,130774.0,150218.0,146890.0,-43.98,False,,,,False,False,107322.0
000500.KS,2026-09-23,318500.0,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,100.0,367.83,349500.0,9.73,-8.87,0.57,199092.0,199092.0,157551.0376,129987.7227,-2.6,False,,,,False,False,296205.0
000660.KS,2026-09-23,1862000.0,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,True,True,False,True,True,97.98,127.88,1935000.0,3.92,-3.77,0.62,1694180.0,1694180.0,1616866.6667,1387190.0,-36.21,False,,,,False,False,1731660.0
000720.KS,2026-09-23,121100.0,후보 아님 (트렌드 템플릿 5/8),5,False,False,True,True,False,True,True,False,True,True,79.8,-4.92,142000.0,17.26,-14.72,1.79,113512.0,113512.0,135449.3333,123374.0,-35.82,False,,,,False,False,112623.0
000810.KS,2026-09-23,648000.0,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,True,True,True,False,True,69.19,-13.46,705000.0,8.8,-8.09,0.55,645300.0,645300.0,579050.0,558825.0,-11.23,False,,,,False,False,602640.0
000880.KS,2026-09-23,130000.0,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,True,False,True,False,False,False,True,50.0,-33.95,144800.0,11.38,-10.22,0.45,122724.709,122724.709,148932.7095,144245.1691,-34.84,False,,,,False,False,120900.0
