symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
AAPL,2026-09-25,341.07,2순위 · 근접 (피벗 3% 이내),8,True,True,True,True,True,True,True,True,True,True,76.77,10.22,345.34,1.25,-1.24,0.62,321.832,321.832,294.9843,287.7663,0.0,False,,,,False,False,317.1951
ABNB,2026-09-25,157.47,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,True,False,True,True,False,True,59.6,-0.94,191.49,21.6,-17.77,1.1,167.9966,167.9966,146.6863,142.7133,-17.34,False,,,,False,False,146.4471
ADBE,2026-09-25,235.47,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,22.22,-24.2,294.53,25.08,-20.05,0.59,257.418,257.418,246.2607,262.6839,-34.66,False,,,,False,False,218.9871
ADI,2026-09-25,393.6,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,False,True,True,True,True,True,74.75,9.01,390.55,-0.77,0.78,0.63,373.187,373.187,374.9405,356.4779,-11.65,False,,,,False,False,366.048
ADP,2026-09-25,263.67,후보 아님 (트렌드 템플릿 5/8),5,False,True,False,True,True,False,True,True,False,True,56.57,-5.33,288.0,9.23,-8.45,0.51,270.1362,270.1362,234.3406,238.0273,-10.16,False,,,,False,False,245.2131
ADSK,2026-09-25,209.4,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,13.13,-29.75,271.72,29.76,-22.94,0.86,233.6786,233.6786,231.6445,241.2215,-35.26,False,,,,False,False,194.742
AEP,2026-09-25,118.35,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,True,False,False,False,True,False,True,28.28,-22.11,126.34,6.75,-6.32,1.06,125.1754,125.1754,129.7383,126.9432,-14.67,False,,,,False,False,110.0655
ALAB,2026-09-25,364.62,2순위 · 근접 (피벗 3% 이내),8,True,True,True,True,True,True,True,True,True,True,90.91,63.23,369.15,1.24,-1.23,0.72,305.0297,305.0297,261.4383,236.2112,-24.51,False,,,,False,False,339.0966
ALNY,2026-09-25,255.96,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,False,True,False,False,False,True,3.03,-42.16,272.08,6.3,-5.92,0.58,244.2924,244.2924,286.0433,306.9521,-47.89,False,,,,False,False,238.0428
AMAT,2026-09-25,485.0,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,True,False,True,False,True,True,82.83,28.12,484.98,-0.0,0.0,0.66,490.2458,490.2458,461.0827,421.417,-32.92,False,,,,False,False,451.05
AMD,2026-09-25,630.63,1순위 · 임박 (피벗 1% 이내),8,True,True,True,True,True,True,True,True,True,True,97.98,130.44,630.8,0.03,-0.03,0.72,504.713,504.713,413.0639,364.7536,0.0,False,,,,False,False,586.4859
