symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
A,2026-09-25,172.79,후보 아님 (트렌드 템플릿 7/8),7,False,True,False,True,True,True,True,True,True,True,90.78,22.26,174.77,1.15,-1.13,1.13,148.747,148.747,130.5344,132.0781,-0.03,False,,,,False,False,155.511
AAPL,2026-09-25,341.07,2순위 · 근접 (피벗 3% 이내),8,True,True,True,True,True,True,True,True,True,True,87.78,15.36,345.34,1.25,-1.24,0.63,321.832,321.832,294.9843,287.7663,0.0,False,,,,False,False,306.963
ABBV,2026-09-25,264.34,2순위 · 근접 (피벗 3% 이내),8,True,True,True,True,True,True,True,True,True,True,72.14,2.15,269.39,1.91,-1.87,0.53,257.0482,257.0482,232.7991,230.5622,-0.61,False,,,,False,False,237.906
ABNB,2026-09-25,157.47,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,False,True,True,True,True,75.35,4.19,191.49,21.6,-17.77,1.1,167.9966,167.9966,146.6863,142.7133,-17.34,False,,,,False,False,141.723
ABT,2026-09-25,101.29,후보 아님 (트렌드 템플릿 2/8),2,False,False,False,False,True,False,False,True,False,True,28.66,-17.95,113.91,12.46,-11.08,0.82,107.0058,107.0058,99.9864,104.6444,-24.74,False,,,,False,False,91.161
ACGL,2026-09-25,94.66,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,True,False,False,True,False,True,41.68,-12.45,100.51,6.18,-5.82,1.4,98.8494,98.8494,96.6292,96.3518,-11.1,False,,,,False,False,85.194
ACN,2026-09-25,176.11,후보 아님 (트렌드 템플릿 2/8),2,False,False,False,False,False,True,True,False,False,True,44.09,-11.48,197.63,12.22,-10.89,0.84,175.3292,175.3292,176.5109,197.9754,-38.97,False,,,,False,False,158.499
ADBE,2026-09-25,235.47,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,27.45,-19.07,294.53,25.08,-20.05,0.59,257.418,257.418,246.2607,262.6839,-34.66,False,,,,False,False,211.923
ADI,2026-09-25,393.6,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,False,True,True,True,True,True,87.37,14.15,390.55,-0.77,0.78,0.66,373.187,373.187,374.9405,356.4779,-11.65,False,,,,False,False,354.24
ADM,2026-09-25,81.12,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,False,True,True,True,True,78.56,7.53,88.75,9.41,-8.6,0.83,82.5302,82.5302,77.364,73.894,-7.91,False,,,,False,False,73.008
