date,equity_proxy,exposure_pct_proxy,n_positions_proxy,equity_percentile,exposure_pct_percentile,n_positions_percentile,benchmark_close
2016-09-26,100000000.0,0.0,0,100000000.0,0.0,0,686.7600098
2016-09-27,99758966.61130731,14.690907737477357,2,99758966.61130731,14.690907737477357,2,687.9899902
2016-09-28,99832547.35269931,22.25449061980615,3,99832547.35269931,22.25449061980615,3,686.7600098
2016-09-29,100133195.50937131,45.13792115878494,6,100133195.50937131,45.13792115878494,6,689.8300171
2016-09-30,100692650.4113073,45.44273843008273,6,100692650.4113073,45.44273843008273,6,681.210022
2016-10-04,102123632.3960273,53.72645453569118,7,102123632.3960273,53.72645453569118,7,685.8800049
2016-10-05,102686712.63805403,68.89669322960296,9,102686712.63805403,68.89669322960296,9,685.4400024
2016-10-06,102514276.92370202,76.41474579950938,10,102514276.92370202,76.41474579950938,10,684.3300171
2016-10-07,100319459.196088,84.63062955129122,11,100160119.30329059,76.91566630109736,10,675.9000244
2016-10-10,98764171.550968,84.38860056854607,11,98494490.91536129,84.27436038167733,11,674.7399902
2016-10-11,97940284.600568,76.77520122720158,10,97681207.52989627,76.64151174803202,10,670.6400146
2016-10-12,96977503.3110934,54.70931490364619,7,96715284.43522668,54.51370973565231,7,669.9500122
2016-10-13,95682053.3806934,54.0961192960812,7,95424939.94577667,53.89864009011232,7,663.0900269
2016-10-14,96256463.2755254,39.33650361556495,5,95989138.97875768,39.094197416298854,5,664.9199829
2016-10-17,96242536.78677341,39.67150841257458,5,95973095.65429169,39.40433359815657,5,659.8300171
2016-10-18,96444504.56790942,39.79784439864017,5,96172692.5428547,39.53009389616236,5,660.289978
2016-10-19,95465711.16222942,39.180602121879694,5,95201668.19378969,38.91332160291876,5,661.2600098
2016-10-20,94718978.45069341,38.70112235304797,5,94462611.81577669,38.43539178059882,5,655.6799927
2016-10-21,95227475.58995742,31.979611401392205,4,94953892.67228869,31.68477532345787,4,651.7700195
2016-10-24,95004812.04234141,31.82019146560164,4,94729287.29951069,31.522798315688632,4,647.8800049
2016-10-25,94330200.90222941,31.332597270655725,4,94055468.90253969,31.032223989640734,4,640.1699829
2016-10-26,94245314.3055254,23.50248107273105,3,93978536.8087577,23.185446624798367,3,635.5100098
2016-10-27,95195415.60222942,24.265967333783045,3,94907994.57128969,23.93771078581571,3,648.5700073
2016-10-28,94737633.7300694,31.44518509509766,4,94453426.33800969,31.10913447931588,4,640.1699829
2016-10-31,93880997.54234141,30.819642793376296,4,93607280.09951068,30.486407842399398,4,624.6799927
2016-11-01,94349283.41779742,31.163007183282744,4,94068875.10775869,30.827510328302193,4,626.3800049
2016-11-02,93038275.88666141,30.193021280777327,4,92762495.7660707,29.853350342912005,4,606.0599976
2016-11-03,92980881.10666142,15.646691034298776,2,92705510.25919569,15.291669568900115,2,609.9899902
2016-11-04,93804789.35666142,16.387584837784566,2,93505247.74357069,16.01616823308586,2,610.8200073
2016-11-07,94661992.21563742,17.144729280293983,2,94329061.65822868,16.749633063538194,2,622.1699829
2016-11-08,94625720.70869341,24.650440614944806,3,94285535.64852668,24.275867801879176,3,624.1900024
2016-11-09,93175415.30438943,9.65685352306889,1,92846730.50269468,9.255367817446837,1,599.7399902
2016-11-10,93655880.77325343,10.120324282964663,1,93305596.09850667,9.701638903580058,1,623.2299805
2016-11-11,93175415.30438943,9.65685352306889,1,92846730.50269468,9.255367817446837,1,621.8900146
2016-11-14,93362163.32077342,17.336792285144657,2,93029204.10366668,16.93314082093616,2,621.2299805
2016-11-15,93302782.23837343,17.284182591939327,2,92968219.38571668,16.878651136057826,2,617.4299927
2016-11-16,93542275.16509342,17.495956927790484,2,93205064.67647667,17.089872490909936,2,627.8300171
2016-11-17,93632087.04237342,17.575094787743897,2,93289129.68646668,17.16458474002994,2,627.7600098
2016-11-18,93786189.83725342,17.71052952800757,2,93435449.97850667,17.29430533488855,2,620.2600098
2016-11-21,93448546.75485343,17.413205798275147,2,93097175.26055667,16.993788746094122,2,609.3300171
2016-11-22,93443149.71453342,17.408435793629888,2,93088174.98849668,16.985763253231603,2,610.7399902
2016-11-23,92771780.08269343,16.810738217870373,2,92435449.95852667,16.39956531518097,2,600.289978
2016-11-24,92933736.05869342,10.104965421630151,1,92589595.99927667,9.686555162364103,1,592.6500244
2016-11-25,93326843.68141343,10.4836177144053,1,92965031.02053668,10.051281874230538,1,597.8200073
2016-11-28,93195807.80413343,10.357755210928994,1,92839886.01054667,9.930034060255862,1,593.0499878
2016-11-29,93152128.88653342,10.315722073625281,1,92798170.72849667,9.88954517988339,1,596.0700073
2016-11-30,93414201.52573343,10.567330448230255,1,93048461.59334667,10.131933106376161,1,596.1099854
2016-12-01,93719952.19789343,10.859094348949908,1,93340466.89537667,10.413075389985467,1,593.8499756
2016-12-02,93370522.59901343,10.525493657442421,1,93006746.30258667,10.091625572895634,1,586.7299805
2016-12-05,93469501.28573343,18.297015738341543,2,93103550.07334667,17.86260982749677,2,575.1199951
2016-12-06,93702154.20333344,18.499875937519608,2,93333517.35539667,18.064990632462315,2,581.3499756
2016-12-07,93745832.23629344,18.537848453418476,2,93375231.79257667,18.101594266375617,2,578.5200195
2016-12-08,93623004.49085343,18.430975014912924,2,93263653.78130667,18.003613318091418,2,584.6199951
2016-12-09,93535646.64653343,18.35479342595242,2,93180223.20849667,17.930196392550098,2,594.3499756
2016-12-12,93334570.49085343,18.17890035459342,2,92976321.78130667,17.75021347040221,2,603.0800171
2016-12-13,94292025.67949343,19.00972391396852,2,93901370.95817667,18.560479567164794,2,611.0900269
2016-12-14,94579347.60221343,26.817006587901677,3,94192985.64818668,26.379390767796878,3,612.4699707
2016-12-15,95068395.98685342,27.193472650464205,3,94658708.52430668,26.74160574418782,3,620.6099854
2016-12-16,95234277.30936784,42.265925276508185,5,94822481.45380276,41.80305540629819,5,622.0800171
2016-12-19,94811950.65728784,42.00875686767497,5,94396805.11020277,41.54062001397302,5,622.7700195
2016-12-20,94806383.14887343,27.551163328342188,3,94405582.86305417,27.103579648660425,3,617.9899902
2016-12-21,95407569.14775342,35.61114424087602,4,94990165.45584416,35.15552454994219,4,618.6300049
2016-12-22,94908231.54887342,35.27237724348618,4,94507110.86305417,34.82408471015492,4,615.9299927
2016-12-23,94353993.50455344,42.44491847691354,5,93958515.19024417,42.00297087640412,5,619.75
2016-12-26,92891025.67354715,49.2153561211445,6,92504894.43218912,48.76933006715759,6,615.1599731
2016-12-27,93988798.84646714,49.808512117717804,6,93593212.65969913,49.365049247117625,6,618.3800049
2016-12-28,94738198.55894715,50.205537680374256,6,94330726.23378912,49.76093259281642,6,627.2700195
2016-12-29,95545687.74612716,43.60767204178596,5,95145863.67577913,43.16649137523705,5,631.4400024
2017-01-02,95366533.08990714,43.50173395426762,5,94981661.85141912,43.06823908506799,5,632.039978
2017-01-03,95196373.05662715,50.927399349617296,6,94799525.06487912,50.48499282443216,6,636.5700073
2017-01-04,94739661.69115157,58.31982995155701,7,94333794.8033522,57.874390358268435,7,639.789978
2017-01-05,94954610.94663157,58.41418157314629,7,94539213.13341221,57.9659224548298,7,642.4799805
2017-01-06,95073330.35633157,58.466110371653954,7,94664544.68306223,58.0215736608276,7,643.6799927
2017-01-09,96181416.15602157,58.944613549735735,7,95746847.47041722,58.49608920923456,7,642.1500244
2017-01-10,95659736.99339157,58.72071852035358,7,95229081.32419223,58.27042999206492,7,636.7299805
2017-01-11,96138235.17199157,58.92617331122415,7,95696714.15102221,58.47434625981071,7,637.9000244
2017-01-12,95857092.69007157,58.80570650743143,7,95402132.16888222,58.34612366026975,7,632.8699951
2017-01-13,95757304.10679156,58.76277797863473,7,95315366.60464221,58.308206142747196,7,634.6799927
2017-01-16,94559734.46126157,58.24052137924674,7,94142253.82148722,57.7886819722366,7,627.8800049
2017-01-17,94050280.08808157,51.71690232749647,6,93629276.77239722,51.26035222932992,6,624.0
2017-01-18,94010026.01321158,51.69622802805108,6,93603596.89070222,51.246980645008556,6,626.8900146
2017-01-19,94190940.38939157,51.78900602492976,6,93799891.39584222,51.34900581439796,6,626.1900024
2017-01-20,94070381.35507157,51.72721961784267,6,93679650.20086223,51.28656051634979,6,622.1199951
2017-01-23,94258429.30529156,51.82352503550335,6,93872339.27837223,51.38655320630085,6,615.9899902
2017-01-24,94691355.76337156,67.24150378234368,8,94296291.53336222,66.79726729442477,8,612.9299927
2017-01-25,95443556.72305158,67.49967702251425,8,95041453.26130223,67.05758955198952,8,609.6400146
2017-01-26,95609084.81542157,75.08133976788288,9,95206560.88823722,74.64846035408651,9,616.8099976
2017-01-31,97225467.30704157,75.49561482594584,9,96802453.66325723,75.06640780712615,9,616.1300049
2017-02-01,96774072.37628157,67.31932106647305,8,96360087.77991723,66.88624679756427,8,623.6799927
2017-02-02,94561636.38038157,66.5546990356937,8,94184695.67372721,66.12141556030629,8,613.039978
2017-02-03,93701635.93681021,48.025551369879224,6,93329220.73747285,48.02427073683788,6,609.210022
2017-02-06,93911459.5996302,48.14167637987391,6,93538003.14492285,48.140283667621944,6,610.960022
2017-02-07,93417263.02795765,48.12581885945979,6,93045992.38744777,48.11895640697148,6,608.7199707
2017-02-08,93933556.96564767,55.900213110414875,7,93560192.54945277,55.89444319464568,7,608.789978
2017-02-09,93295602.86305766,55.59865934897071,7,92924587.84139776,55.5927609358584,7,611.039978
2017-02-10,93039935.81244767,55.47664765895556,7,92669795.48805277,55.47066478913533,7,610.5800171
2017-02-13,93263848.27856766,55.583541528408986,7,92893216.74079277,55.577764103870564,7,611.9400024
2017-02-14,94078791.55013765,49.21091390274374,6,93704918.65005776,49.21283796230218,6,611.539978
2017-02-15,93929375.81244767,49.13012247088141,6,93556150.48805277,49.132078838392275,6,615.9500122
2017-02-16,94424716.96564767,49.39697996972447,6,94049657.54945277,49.39899823976055,6,616.5800171
2017-02-17,94300408.27856766,49.33027405511523,6,93925691.74079277,49.3322135934518,6,618.7000122
2017-02-20,94955614.18795766,57.16519581544029,7,94578229.70744777,57.16657066070287,7,619.9699707
2017-02-21,95090896.8293635,49.84628558615443,6,94712783.06914045,49.845151277559694,6,622.4699707
2017-02-22,95914096.8293635,50.276738867478954,6,95532473.06914045,50.27549110472551,6,621.3900146
2017-02-23,95423056.8293635,50.020866639552175,6,95043263.06914045,50.019547377509824,6,617.6699829
2017-02-24,94963197.2293635,42.7062706219204,5,94585325.26914045,42.69879062643204,5,614.75
2017-02-27,95875197.2293635,43.25126956536775,5,95493625.26914045,43.24381850999309,5,612.1199951
2017-02-28,95644117.2293635,43.114162370396336,5,95263515.26914045,43.106723370413505,5,612.2000122
2017-03-02,95067997.2293635,42.769429445223864,5,94689895.26914045,42.76207074145554,5,608.9299927
2017-03-03,94408277.2293635,42.36950527422486,5,94032845.26914045,42.36212345376383,5,600.7299805
2017-03-06,95121312.6793635,50.35145505344858,6,94742928.01914045,50.34391061923266,6,604.0499878
2017-03-07,95241258.8117739,57.99484084335911,7,94862571.85334398,57.98053232829482,7,606.0499878
2017-03-08,94550795.7841739,57.688095573522155,7,94175020.96246397,57.6737575366704,7,605.75
2017-03-09,95343349.0072989,50.77187397339505,6,94964301.92596397,50.76418614395101,6,606.1300049
2017-03-10,95377494.94010231,58.2921207981617,7,94998368.48138922,58.28552810246882,7,612.2600098
2017-03-13,95073051.61739731,58.158563653301286,7,94695152.79442622,58.15195756713037,7,615.5900269
2017-03-14,94244702.6553373,57.79080494228238,7,93870330.87631021,57.78424625401737,7,614.1199951
2017-03-15,93906184.7312173,57.63864702924809,7,93533167.04007822,57.63206894694166,7,608.6799927
2017-03-16,94713717.5326323,65.59931927058868,8,94335419.98934722,65.54449269749082,8,613.8800049
2017-03-17,94327895.2159823,65.458612745727,8,93949689.44515721,65.40302824283825,8,613.2600098
2017-03-20,95039021.00620763,73.19750135114626,9,94653646.56662601,73.14541184348256,9,609.1099854
2017-03-21,95444891.67744762,65.72804814780699,8,95052868.75689003,65.67395554989186,8,609.7299805
2017-03-22,94767338.78364761,65.48301583549694,8,94378272.85821003,65.42860025674362,8,607.5700073
2017-03-23,95595826.74356262,65.78215970785006,8,95195672.25367501,65.72544821822673,8,605.5300293
2017-03-24,97116908.35986763,56.05949320076689,7,96704940.74340603,56.00068967159331,7,608.1799927
2017-03-27,99485258.67366263,57.10554278091262,7,99050671.23006302,57.0426868872356,7,607.0700073
2017-03-28,98446528.11770763,56.652954109209574,7,98024992.03640202,56.59320536869611,7,612.2800293
2017-03-29,99968864.67181262,64.86326394084104,8,99538479.78984901,64.80240773762961,8,613.6300049
2017-03-30,101278915.91233762,72.90590428038946,9,100837319.76261202,72.84102619440387,9,614.6799927
2017-03-31,102008831.49270761,80.51746801697914,10,101558549.84140201,80.4523664510815,10,619.2800293
2017-04-03,104154110.94511303,87.17435423998901,11,103695545.45697385,87.10748599491093,11,628.5200195
2017-04-04,100280341.86664951,99.99467290483751,13,99860157.45487776,99.99896776520582,13,625.4899902
2017-04-05,100926315.6796515,99.99470700064246,13,100493537.94023377,99.99897427107065,13,630.1699829
2017-04-06,104168391.89280494,93.72963364711778,12,103720255.61919236,93.73773316111796,12,630.460022
2017-04-07,105048513.36362694,93.78216827022081,12,104595535.27408236,93.79013725985126,12,633.3200073
2017-04-10,102762610.11957294,86.79982885817994,11,102315907.33049534,86.80534974953929,11,619.4099731
2017-04-11,103062676.76998092,86.83826111380802,11,102618930.04730135,86.84431213946439,11,621.6400146
2017-04-12,101823888.81317393,86.67813558911146,11,101392754.80240434,86.68521616840002,11,621.4500122
2017-04-13,100678971.07279193,94.1157626637824,12,100258342.50968738,94.11974427736553,12,623.8699951
2017-04-14,98300302.68669192,93.97337602869156,12,97894395.55913037,93.97774827744517,12,618.2399902
2017-04-17,101627270.71914992,94.69210855766053,12,101199280.05486235,94.69793053869996,12,629.4699707
2017-04-18,102878678.25306293,99.99347619380526,13,102448988.54318735,99.99609149597151,13,634.7299805
2017-04-19,101994010.75651194,99.99341960813665,13,101567397.23070338,99.99605757068356,13,635.9899902
2017-04-20,100773440.09274894,99.9981253933743,13,100354093.25376537,99.99654979410197,13,635.7999878
2017-04-21,99922338.33701894,99.99810942616398,13,99511323.49362038,99.9965205740183,13,634.960022
2017-04-24,97406926.00339192,92.83141374840042,12,97013524.74026535,92.83173852154862,12,626.6199951
2017-04-25,99330554.04300994,84.67964217838183,11,98926217.79121536,84.73079365601127,11,632.5700073
2017-04-26,99683123.27366394,92.2778441798496,12,99277211.71153736,92.33248819984765,12,635.1099854
2017-04-27,98951113.13780892,84.63943252016105,11,98548403.78309436,84.69268365214032,11,631.1099854
2017-04-28,99217175.17129391,84.6806236124504,11,98813131.76482536,84.7336931302341,11,628.2399902
2017-05-02,99426344.80202892,84.71285197514898,11,99021414.24028637,84.7658044084902,11,626.4299927
2017-05-04,101164563.12780893,84.9755170826149,11,100752380.09144436,85.02753393105664,11,635.1099854
2017-05-08,102481545.74294493,92.6481614802306,12,102063662.48003037,92.69977410001117,12,643.3900146
2017-05-10,103288144.72922093,92.70557354347228,12,102866899.31688635,92.75677796033145,12,642.6799927
2017-05-11,105294807.25754592,92.84458754252101,12,104864289.04832937,92.89474234702489,12,647.5800171
2017-05-12,107759561.84034793,99.99982400115434,13,107318292.56082135,99.9979404043881,13,643.7299805
2017-05-15,109262129.84977593,99.99982642148272,13,108813352.03120336,99.99796870255065,13,645.3800049
2017-05-16,108253836.91284493,99.99982480474564,13,107810617.64698836,99.99794980968238,13,639.1099854
2017-05-17,108493234.34979494,94.3438340995532,12,108046415.98355035,94.3474612394601,12,640.0100098
2017-05-18,108777836.31389093,94.35863266495097,12,108326855.15956634,94.36209466817054,12,638.1199951
2017-05-19,108776496.97015294,99.99857339992722,13,108326037.94262035,99.99676699811894,13,642.4500122
2017-05-22,109301513.71385594,99.99858025242999,13,108848540.58282535,99.9967825174085,13,642.6199951
2017-05-23,109799921.73680858,93.15188225763926,12,109346821.97808303,93.14808020771672,12,644.7299805
2017-05-24,107143153.8546966,99.99416485203984,13,106700032.12706503,99.9999983717446,13,646.039978
2017-05-25,106511354.2391286,99.99413023935217,13,106071882.90701303,99.9999983621022,13,643.0200195
2017-05-26,106666344.23310061,99.99413876832327,13,106223808.06894103,99.99999836444479,13,646.0100098
2017-05-29,107205769.22240059,99.99416826015806,13,106756076.21157104,99.99999837259939,13,642.9799805
2017-05-30,107980036.2309406,99.99421007644114,13,107527266.13417104,99.99999838427117,13,649.0599976
2017-05-31,107417569.0759686,99.99969265590403,14,106965650.99159303,99.99999837578791,13,652.039978
2017-06-01,107714794.4496526,99.99969350398126,14,107260707.09669903,99.99999838025585,13,653.8300171
2017-06-02,107528500.13928859,99.99969297297352,14,107075226.17990303,99.99999837745005,13,658.7800293
2017-06-05,107723083.72177659,99.99476574253002,13,107270450.03223503,99.99999838040296,13,662.3200073
2017-06-07,108353722.6585006,99.99479620688773,13,107897412.15743104,99.999998389814,13,666.460022
2017-06-08,109653109.67180459,99.99485787172523,13,109191539.23030703,99.99999840889775,13,669.9699707
2017-06-09,109810395.7363886,99.9948652370126,13,109347632.10641304,99.99999841116905,13,674.1500244
2017-06-12,106259481.8276766,99.99469364666605,13,105816889.08637503,99.99999835815525,13,664.8599854
2017-06-13,106192745.83644083,99.9979588456577,13,105749401.75259465,99.99778060821079,13,669.2299805
2017-06-14,106276035.54508084,88.20820596002098,11,105831650.67343497,88.1391848408684,11,671.5900269
2017-06-15,105132612.74731684,81.67406254076707,10,104692700.01488298,81.59499454738032,10,669.8200073
2017-06-16,105283203.26844484,70.90840104547738,9,104842544.82695496,70.83217631095522,9,670.7000122
2017-06-19,105130520.61727282,93.56133848516424,12,104722408.11745697,85.8937487861574,11,675.4400024
2017-06-20,104038005.53025684,99.99818223030978,13,103219370.04063497,99.98959345883456,13,669.4099731
2017-06-21,103577571.81527284,99.9981741497723,13,102259350.26974098,99.98949576131118,13,665.7700195
2017-06-22,105251728.98889703,91.95597439523662,12,104037642.22992498,91.88155524989153,12,663.2800293
2017-06-23,106203229.29822505,92.02804275795732,12,105458645.31513298,91.99094727747278,12,668.9299927
2017-06-26,108947041.15182903,99.55202911050803,13,107908062.45462298,99.50309551338904,13,668.3599854
2017-06-27,110284943.76115704,99.99456967640478,14,109361045.93983097,99.98939027726715,14,672.6300049
2017-06-28,108695703.95182905,99.9944902796474,14,108332465.35462297,99.98928954149248,14,665.8900146
