symbol,signal_date,entry_date,entry_price,exit_signal_date,close,rs_pct,vol_x,breakout_pct,from_high52,contraction,dry_up,regime_on,ext50_pct,ma50_over_ma200_pct,above_lo52_pct,atr20_pct,trading_value50,ret20_pct,b_dist200_pct,b_dist20_pct,entry_gap_pct,exit_date,exit_price,exit_type,bars_held,pnl_pct,net_pnl_pct,mfe_pct,mae_pct,n_same_day,breadth_tt_pct,b_ret20_pct,b_ret60_pct
010170.KQ,2016-09-26,2016-09-27,1922.963867,,1956.700073,93.10344827586206,11.159810096454182,6.005221525444937,0.0,1.6620154976775117,2.4523704828136865,True,23.231953498116308,13.699030792344358,105.8823578183945,4.568965238138467,1242716752.8200614,24.923074934098487,0.559163330395207,2.0128974903862673,-1.7241378208912694,2016-10-07,1730.6674803,STOP,7,-9.999999999999998,-10.359281437125745,6.01503720298453,-13.032580606466482,2,14.606741573033707,-0.14830606539101288,4.1650269237271775
098460.KQ,2016-09-26,2016-09-27,9200.0,2016-10-13,9200.0,72.41379310344827,1.4869724121669419,0.4366812227074135,-2.4390243902439046,1.128693994280267,0.8773337393707982,True,3.1899143075059477,10.526250542366578,40.45801526717556,2.8532608695652173,1983835430.0,2.4498886414253906,0.559163330395207,2.0128974903862673,0.0,2016-10-14,8900.0,EXIT_MA,12,-3.2608695652173947,-3.647053718649651,1.9565217391304346,-4.130434782608694,2,14.606741573033707,-0.14830606539101288,4.1650269237271775
102710.KQ,2016-09-27,2016-09-28,23800.0,,23800.0,80.45977011494253,1.7157243571385175,0.42194092827003704,0.0,1.2828282828282829,1.5841289525853302,True,15.736238085975485,11.68651305516708,68.79432624113475,4.579831932773109,4187744705.0,18.114143920595538,0.7421845578188035,2.165022536239225,0.0,2016-10-21,21420.0,STOP,16,-9.999999999999998,-10.359281437125745,5.042016806722693,-10.504201680672265,1,16.853932584269664,0.5892110752636848,2.703467063881604
033640.KQ,2016-09-28,2016-09-29,7940.0,2016-10-10,7920.0,74.71264367816092,1.4608339263964174,0.50761421319796,-7.1512309495896815,0.9105990783410138,0.7222832211831578,True,0.8865790278202335,16.19377469916965,53.78640776699029,3.005050505050505,1031013814.6,1.9305019305019266,0.5647000328730334,1.934464229186994,0.2525252525252597,2016-10-11,7770.0,EXIT_MA,7,-2.1410579345088165,-2.5317123938520925,4.030226700251882,-4.659949622166248,3,16.853932584269664,0.9302966018417402,1.7286557992255203
064290.KQ,2016-09-28,2016-09-29,4290.0,2016-10-25,4265.0,82.75862068965517,12.410552223455177,0.3529411764705781,-3.724604966139955,1.0817910447761194,1.8854638667467005,True,6.940474399478469,14.911364504022973,57.67097966728281,5.0762016412661195,258230881.3,12.236842105263168,0.5647000328730334,1.934464229186994,0.5861664712778492,2016-10-26,4180.0,EXIT_MA,18,-2.564102564102566,-2.953068222529287,32.867132867132874,-6.643356643356646,3,16.853932584269664,0.9302966018417402,1.7286557992255203
137400.KQ,2016-09-28,2016-09-29,6325.0,2016-11-02,6225.0,71.26436781609196,4.161226700277295,2.4691358024691468,-15.017064846416384,0.7452471482889734,0.6172376665634548,True,4.079585353619786,4.351315513992593,53.703703703703695,3.91566265060241,5015212366.0,8.260869565217387,0.5647000328730334,1.934464229186994,1.6064257028112428,2016-11-03,5900.0,EXIT_MA,24,-6.719367588932801,-7.0917453630288785,10.671936758893285,-7.509881422924902,3,16.853932584269664,0.9302966018417402,1.7286557992255203
033100.KQ,2016-09-30,2016-10-04,6800.0,,6700.0,100.0,5.1203682572054925,3.076923076923066,0.0,1.8753387533875339,1.1935782554712584,True,74.30214105465802,19.952255014393707,154.7528517110266,9.332089552238806,8973801686.9,119.3126022913257,-0.2439872359044304,0.8125439911570664,1.4925373134328401,2016-10-12,6120.0,STOP,6,-9.999999999999998,-10.359281437125745,17.352941176470594,-12.058823529411766,1,12.359550561797752,2.0371230055601153,-1.0085013665517284
005290.KQ,2016-10-04,2016-10-05,9680.0,2016-10-11,9710.0,90.80459770114942,1.7912139581148974,4.972972972972967,-19.08333333333333,0.7256549678695008,0.6945124953099262,True,1.5647880841805906,33.751171672798996,130.64133016627076,3.98043254376931,11617576284.4,16.00955794504182,0.43801452452718603,1.337265534994314,-0.3089598352214229,2016-10-12,9320.0,EXIT_MA,5,-3.7190082644628086,-4.103363520892101,5.371900826446274,-4.545454545454541,2,17.97752808988764,3.343428772432566,-0.9888377568206042
319660.KQ,2016-10-04,2016-10-05,15758.94824,2016-10-11,15758.94824,93.10344827586206,1.6107918252143438,1.337793550151778,0.0,0.962963137563583,1.0393069646147646,True,7.226275336237076,30.982951627750886,94.48010837694906,3.9273929489091324,3025278440.4316273,10.583941956700205,0.43801452452718603,1.337265534994314,0.0,2016-10-12,14354.68555,EXIT_MA,5,-8.91089093392441,-9.274520111832885,3.3003260882592977,-10.23102389477739,2,17.97752808988764,3.343428772432566,-0.9888377568206042
059090.KQ,2016-10-05,2016-10-06,3415.0,2016-10-13,3395.0,70.11494252873564,1.6491928452616673,3.5060975609756184,-9.946949602122013,0.7753623188405797,0.40747978534723606,True,5.173482032218102,13.176786136895524,68.4863523573201,3.1443298969072164,2345839523.6,10.586319218241048,0.361075228927632,1.1665050104717745,0.589101620029453,2016-10-14,3195.0,EXIT_MA,6,-6.44216691068814,-6.815651274318125,0.7320644216691097,-7.759882869692536,1,15.730337078651685,2.1078855433173116,-0.010212454814539917
043260.KQ,2016-10-06,2016-10-07,1390.0,2016-10-14,1395.0,88.50574712643679,2.849549675579791,3.3333333333333437,-8.823529411764708,0.96,0.5667832995865,True,8.729540140296187,20.338975102119306,96.20253164556962,3.2795698924731185,2711877630.8,15.767634854771796,0.1837007782094835,0.9474020733876154,-0.35842293906810374,2016-10-17,1255.0,EXIT_MA,6,-9.712230215827333,-10.072660434526625,7.913669064748197,-11.870503597122307,1,16.853932584269664,1.096164083093476,-1.6696594433941447
222800.KQ,2016-10-07,2016-10-10,8745.319336,2017-02-02,8620.796875,70.11494252873564,4.596341882147417,0.6711374225698785,-19.642855361820576,1.2807015893129747,2.215118064213166,True,15.949495914493017,5.49348980595783,62.74863668011743,2.894444937841087,2006619553.7952502,18.11023538171421,-1.0633281401079997,-0.26972245585900056,1.4444425823453955,2017-02-03,11015.46289,EXIT_MA,81,25.958383756839876,25.455555877571044,50.60241489162243,-9.857611333313587,1,15.730337078651685,-0.5283324039760062,-2.411197197275783
