rs_mode,symbol,signal_date,signal_close,rs_at_signal,entry_date,entry_price,qty,desired_qty,partial,stop_price,entry_cost,cost_basis,exit_signal_date,exit_date,exit_price,exit_type,exit_cost,net_pnl,pnl_pct,price_pnl_pct,bars_held,days_held
proxy,IDXX,2016-10-07,115.31999969482422,32.67216959291693,2016-10-10,115.47000122070312,93380.69131594402,93380.69131594402,False,107.3871011352539,21565.337080484318,10804233.877322642,2016-10-13,2016-10-14,111.61000061035156,EXIT_MA,20844.438029535126,-402859.3005846143,-3.7287169563238423,-3.342860110457402,4,4
proxy,ISRG,2016-09-30,80.53666687011719,15.130421182394322,2016-10-03,80.17333221435547,133499.238898979,133499.238898979,False,74.56119895935058,21406.1576612229,10724484.988272674,2016-10-19,2016-10-20,75.77666473388672,EXIT_MA,20232.254136553962,-628590.1741322484,-5.861262100880533,-5.483952530142567,13,17
proxy,FANG,2016-10-10,105.20999908447266,25.506881653292435,2016-10-11,105.5,23173.797935817434,102657.39970516168,True,98.115,4889.671364457479,2449725.3535931967,,2016-10-25,98.115,STOP,4547.394368945455,-180575.56348941475,-7.371257485029943,-7.000000000000006,11,14
proxy,AMZN,2016-09-27,40.80550003051758,18.10184838250475,2016-09-28,40.900001525878906,262569.64640239003,262569.64640239003,False,38.03700141906738,21478.197877014474,10760577.13638425,2016-10-28,2016-10-31,39.05149841308594,EXIT_MA,20507.47625961494,-527346.4828363955,-4.900726756126331,-4.519567344327246,23,33
proxy,BKR,2016-10-28,59.119998931884766,21.07903842937574,2016-10-31,62.0,164722.66199130536,174132.39845892758,True,57.66,20425.610086921864,10233230.653547853,,2016-10-31,57.66,STOP,18995.817380837332,-754317.7805100251,-7.371257485029947,-7.000000000000006,1,0
proxy,MPWR,2016-09-30,80.5,20.15157580278202,2016-10-03,80.2300033569336,133560.04634312127,133560.04634312127,False,74.61390312194824,21431.045932921654,10736954.012393748,2016-11-01,2016-11-02,76.66999816894531,EXIT_MA,20480.097017142718,-517385.6008395329,-4.818737234436422,-4.4372492073199155,22,30
proxy,AMD,2016-10-25,7.5,115.62660278948339,2016-10-26,7.400000095367432,306029.79997574224,1400484.4339180053,True,6.8820000886917105,4529.241098011537,2269149.79010378,,2016-11-02,6.8820000886917105,STOP,4212.194221150729,-167264.87374956626,-7.371257485029949,-7.000000000000018,6,7
proxy,PYPL,2016-10-21,44.150001525878906,14.404383470976907,2016-10-24,44.0,238136.69149973156,238136.69149973156,False,40.919999999999995,20956.028851976378,10498970.454840165,,2016-11-03,40.919999999999995,STOP,19489.106832338028,-773906.1455034893,-7.371257485029957,-7.000000000000018,9,10
proxy,LRCX,2016-10-05,9.616999626159668,16.0420567191064,2016-10-06,9.885000228881836,1115601.6809732893,1115601.6809732893,False,9.193050212860106,22055.44574352385,11049778.317505449,2016-11-03,2016-11-04,9.4350004196167,EXIT_MA,21051.40465621616,-545127.3940535858,-4.93337855647272,-4.552350013612894,21,29
proxy,ADBE,2016-09-27,109.69999694824219,9.56444932243928,2016-09-28,109.4800033569336,97668.97003051738,97668.97003051738,False,101.81640312194824,21385.598333618578,10714184.765142906,,2016-11-10,101.81640312194824,STOP,19888.606450265277,-789770.1464605331,-7.371257485029932,-7.000000000000006,32,43
proxy,CSCO,2016-11-09,31.360000610351562,4.326277366980524,2016-11-10,31.40999984741211,38300.41009577618,330419.67209838715,True,29.21129985809326,2406.031750528302,1205421.9070146794,2016-11-17,2016-11-18,30.110000610351562,EXIT_MA,2306.4507427210715,-54502.986396864755,-4.521486301161194,-4.138806887538571,6,8
proxy,QCOM,2016-09-29,67.44999694824219,19.640501020952282,2016-09-30,68.4000015258789,158749.5382739616,158749.5382739616,False,63.612001419067376,21716.93732034309,10880185.597491888,2016-12-01,2016-12-02,63.95000076293945,EXIT_MA,20304.06618747226,-748456.5699432306,-6.87907906750934,-6.505848923491342,44,63
proxy,NXPI,2016-09-29,96.12000274658203,7.898381029478566,2016-09-30,99.69999694824219,111398.83027619166,111398.83027619166,False,92.72099716186523,22212.926077148113,11128675.964651205,2016-12-01,2016-12-02,98.0,EXIT_MA,21834.170734133564,-233424.76831855625,-2.0975070984185336,-1.7051123372899601,44,63
proxy,MCHP,2016-11-08,31.979999542236328,20.295697051733697,2016-11-09,31.104999542236328,320321.8747325276,320321.8747325276,False,28.927649574279783,19927.223533847104,9983538.990457399,2016-12-01,2016-12-02,30.594999313354492,EXIT_MA,19600.495074988212,-202891.94803828,-2.0322647933985225,-1.6396085400654847,16,23
proxy,BKNG,2016-11-08,63.12519836425781,17.340412858113154,2016-11-09,62.599998474121094,162278.9895756545,162278.9895756545,False,58.217998580932615,20317.32899963577,10178981.828817522,2016-12-01,2016-12-02,59.25920104980469,EXIT_MA,19233.046538845738,-581691.6059335005,-5.714634486198653,-5.336737229630273,16,23
proxy,AXON,2016-11-10,26.81999969482422,22.672052718784364,2016-11-11,26.09000015258789,379632.2479854104,380847.29296537925,True,24.263700141906735,19809.21081573328,9924414.618682373,,2016-12-09,24.263700141906735,STOP,18422.56605863195,-731554.1554250307,-7.371257485029947,-7.000000000000006,20,28
proxy,FANG,2016-12-01,110.0,25.54592533309343,2016-12-02,111.08999633789062,94755.67970545332,94755.67970545332,False,103.31369659423828,21052.816222946294,10547460.927696094,,2016-12-14,103.16999816894531,STOP,19551.886603417577,-791069.5125907231,-7.500094269261429,-7.129353164128204,9,12
proxy,ADSK,2016-12-07,80.33999633789062,23.139066834510967,2016-12-08,80.58000183105469,109872.24036022437,131612.4107131497,True,74.93940170288086,17707.010658817922,8871212.340067778,,2016-12-20,74.93940170288086,STOP,16467.519912700667,-653919.9036301458,-7.371257485029941,-7.000000000000006,9,12
proxy,AMD,2016-11-17,8.460000038146973,146.2669249387308,2016-11-18,8.680000305175781,132329.68166814218,1236071.1164015308,True,8.072400283813476,2297.2433545265762,1150918.9206178146,2017-01-20,2017-01-23,9.680000305175781,EXIT_MA,2561.9027178628603,127470.53559575253,11.07554435957367,11.52073692213711,42,66
proxy,ODFL,2016-11-09,25.780000686645508,11.007215249511885,2016-11-10,26.06333351135254,401937.96907248575,401937.96907248575,False,24.238900165557858,20951.6866776238,10496795.025489522,2017-02-01,2017-02-02,28.719999313354492,EXIT_MA,23087.31639154578,1023775.8538918216,9.753223259154547,10.193115937547947,56,84
proxy,NVDA,2016-12-15,2.467750072479248,115.9613068721582,2016-12-16,2.4957499504089355,3901399.4884984605,4174740.6528552966,True,2.32104745388031,19473.835159890958,9756391.415105369,2017-02-23,2017-02-24,2.4267499446868896,EXIT_MA,18935.4419858302,-307605.8641761001,-3.152865143354624,-2.7647002741897353,46,70
proxy,PCAR,2016-12-05,43.606666564941406,16.38870675763625,2016-12-06,43.400001525878906,238672.39891096184,238672.39891096184,False,40.36200141906738,20716.76495384185,10379099.241874766,2017-02-28,2017-03-01,45.27333450317383,EXIT_MA,21610.99070514183,404785.1199910082,3.900002404427268,4.316435279795727,57,85
proxy,WDC,2016-12-07,52.267574310302734,25.720802533613025,2016-12-08,52.328041076660156,202300.1972875401,202300.1972875401,False,48.665078201293944,21171.946066957706,10607144.97954581,2017-03-09,2017-03-10,56.6968994140625,EXIT_MA,22939.58787411332,839709.3696367387,7.916450385621998,8.348981248891008,62,92
proxy,CSX,2016-10-06,10.353333473205566,10.105240392067453,2016-10-07,10.323332786560059,1039367.8793537127,1039367.8793537127,False,9.600699491500853,21459.481012459164,10751199.987242041,2017-03-21,2017-03-22,15.213333129882812,EXIT_MA,31624.499586215756,5029425.306279622,46.780129773865355,47.368426887187475,113,166
proxy,ADSK,2017-01-20,81.66999816894531,25.42435622528038,2017-01-23,81.38999938964844,15675.608676986052,131725.5764684879,True,75.69269943237305,2551.675561304525,1278389.456213567,2017-03-21,2017-03-22,83.9000015258789,EXIT_MA,2630.367183836421,34163.76852080715,2.6724069378666537,3.0839195909242223,41,58
proxy,MRVL,2017-03-10,16.389999389648438,20.65020642179391,2017-03-13,16.700000762939453,684072.2044672967,706761.0212630939,True,15.531000709533691,22848.01267301906,11446854.349182548,,2017-03-22,15.531000709533691,STOP,21248.651785907725,-843777.1080145948,-7.371257485029949,-7.000000000000006,8,9
proxy,AMD,2017-02-01,12.0600004196167,180.37906501674632,2017-02-02,11.979999542236328,946439.7536836637,946439.7536836637,False,11.141399574279784,22676.69563176911,11361024.511516323,2017-04-06,2017-04-07,13.329999923706055,EXIT_MA,25232.083688791226,1229785.2491904981,10.824598150843725,11.26878491697938,45,64
proxy,TTWO,2016-11-03,48.290000915527344,27.896777992879713,2016-11-04,48.290000915527344,210086.00916269576,210086.00916269576,False,44.90970085144043,20290.10714961213,10165343.681955677,2017-04-12,2017-04-13,57.779998779296875,EXIT_MA,24277.538705935825,1949148.1323063,19.174444005923764,19.65209708811184,109,160
proxy,AVGO,2016-12-09,17.909000396728516,7.67660717172858,2016-12-12,17.80500030517578,515277.2413999694,580433.2850260603,True,16.558650283813474,18349.02288075318,9192860.463257343,2017-04-12,2017-04-13,20.92099952697754,EXIT_MA,21560.2298471821,1565694.230486527,17.031632719156367,17.50069737935338,84,122
proxy,ASML,2017-03-24,132.24000549316406,12.09526603426649,2017-03-27,132.77999877929688,36195.149869533845,86978.78734707595,True,123.48539886474609,9611.983910986344,4815603.939404158,2017-04-19,2017-04-20,130.10000610351562,EXIT_MA,9417.978437888032,-116032.69889803044,-2.4095149924723116,-2.018370763985211,17,24
proxy,STX,2017-04-11,49.09000015258789,26.96187006606162,2017-04-12,49.0099983215332,232232.688514905,232232.688514905,False,45.57929843902588,22763.44734864127,11404487.121669278,,2017-04-26,44.61000061035156,STOP,20719.800752786992,-1065306.5460285693,-9.341117532628159,-8.97775527824991,10,14
proxy,CTAS,2017-03-23,31.487499237060547,5.894260211911368,2017-03-24,31.602500915527344,361663.8638749669,361663.8638749669,False,29.390325851440426,22858.965178443596,11452341.554400241,2017-05-01,2017-05-02,30.415000915527344,EXIT_MA,22000.013501740552,-474334.81703170575,-4.141815145649895,-3.7576140039491057,26,39
proxy,TSLA,2017-05-01,21.52199935913086,20.568954668795634,2017-05-02,21.600000381469727,507226.5904990927,543854.0655796812,True,20.088000354766844,21912.18909654398,10978006.737368535,,2017-05-04,20.088000354766844,STOP,20378.335859785904,-809217.1433353703,-7.37125748502995,-7.000000000000006,3,2
proxy,TMUS,2016-10-24,51.189998626708984,13.806485427965503,2016-10-25,51.16999816894531,195003.76409219808,207016.53185477166,True,47.58809829711914,19956.68450307044,9998298.936038291,2017-05-17,2017-05-18,63.75,EXIT_MA,24862.979921755254,2408328.0449175816,24.087377866217846,24.584722066082463,141,205
proxy,MU,2016-12-22,23.190000534057617,57.864489741092065,2016-12-23,23.06999969482422,355478.57666280156,446468.0936496615,True,21.45509971618652,16401.78131025476,8217292.436437634,2017-05-17,2017-05-18,27.149999618530273,EXIT_MA,19302.486441581495,1414648.2979115313,17.2155038761747,17.685305494916868,99,146
proxy,SHOP,2017-05-09,8.914999961853027,108.52601800017054,2017-05-10,8.95199966430664,1133656.5001537637,1340465.2907733773,True,8.325359687805175,20296.985217631067,10168789.594033165,,2017-05-18,8.317000389099121,STOP,18857.243105767204,-759025.2842553314,-7.464263836285015,-7.093379122201993,7,8
proxy,TER,2017-04-26,33.77000045776367,30.747159804100782,2017-04-27,35.0,294815.52824752516,342050.0037208664,True,32.55,20637.086977326762,10339180.575640708,,2017-06-12,32.55,STOP,19192.490888913886,-762127.6220726799,-7.3712574850299655,-7.000000000000006,32,46
proxy,ADSK,2017-05-19,109.91000366210938,36.31763233223118,2017-05-22,109.80000305175781,106319.17115679782,106319.17115679782,False,102.11400283813475,23347.690634953524,11697193.008111715,,2017-06-12,102.11400283813475,STOP,21713.352290506773,-862230.2151488364,-7.371257485029964,-7.000000000000018,15,21
proxy,AAPL,2017-02-01,32.1875,11.233457236339229,2017-02-02,31.9950008392334,4976.649722280602,354611.69169916614,True,29.75535078048706,318.45582408187704,159546.36786502038,2017-06-12,2017-06-13,36.790000915527344,EXIT_MA,366.1818956779245,23178.39807826394,14.527687711370127,14.986716519832521,90,131
proxy,BKNG,2017-02-28,68.96520233154297,8.884939765042965,2017-03-01,69.63999938964844,154542.78772122407,166765.74339889624,True,64.76519943237304,21524.719285161224,10783884.361865774,2017-06-12,2017-06-13,73.0291976928711,EXIT_MA,22572.27159300137,479679.16304191016,4.448111153140355,4.866740857160945,72,104
proxy,KLAC,2017-04-19,9.758999824523926,14.825751746676058,2017-04-20,9.800000190734863,1160785.648190227,1160785.648190227,False,9.114000177383422,22751.399147333035,11398450.97281385,2017-06-14,2017-06-15,9.722999572753906,EXIT_MA,22572.63672282489,-134705.24812423065,-1.181785564069299,-0.7857205763501462,39,56
proxy,LRCX,2017-04-19,13.616999626159668,27.5708737518919,2017-04-20,13.699999809265137,831909.175883052,831909.175883052,False,12.740999822616576,22794.31110184746,11419949.862025578,2017-06-26,2017-06-27,14.826000213623047,EXIT_MA,24667.77123871421,889267.9860928115,7.786969267263319,8.21898116813411,47,68
proxy,MELI,2017-02-24,207.7899932861328,31.683798524673012,2017-02-27,208.02999877929688,45329.64358440728,54975.670862054234,True,193.46789886474608,18859.85139906042,9448785.550929269,2017-06-27,2017-06-28,260.0,EXIT_MA,23571.414663891785,2313350.3663527314,24.48304444929664,24.981974487169566,85,121
proxy,MAR,2017-03-22,92.13999938964844,8.617319786952024,2017-03-23,92.13999938964844,123784.45129843126,123784.45129843126,False,85.69019943237303,22810.99853417085,11428310.265619595,2017-06-27,2017-06-28,101.0,EXIT_MA,25004.459162283114,1048914.8563596793,9.17821473149173,9.615802766487702,67,97
proxy,AMD,2017-06-21,13.979999542236328,45.015320239749876,2017-06-22,14.100000381469727,831073.2967390434,831073.2967390434,False,13.113000354766845,23436.267602099633,11741570.068651915,,2017-06-28,13.113000354766845,STOP,21795.728869952658,-865501.3625455387,-7.371257485029934,-7.000000000000006,5,6
proxy,CDNS,2017-05-23,34.02000045776367,8.784940945698274,2017-05-24,34.060001373291016,226274.25496065136,348425.9767445129,True,31.67580127716064,15413.802869400375,7722315.237569587,2017-06-29,2017-06-30,33.54999923706055,EXIT_MA,15183.002162592595,-145997.158435883,-1.8905879123607507,-1.4973638158171099,26,37
proxy,TSLA,2017-06-14,25.37733268737793,57.42146955285556,2017-06-15,24.833332061767578,453504.709417058,453504.709417058,False,23.094998817443845,22524.06608105843,11284557.106610274,,2017-07-05,23.094998817443845,STOP,20947.381455384337,-831813.7603734899,-7.371257485029958,-7.000000000000018,14,20
proxy,REGN,2017-06-20,495.3299865722656,16.077711810836476,2017-06-21,496.510009765625,23208.968705351755,23208.968705351755,False,461.7543090820312,23046.97055708857,11546532.249101372,2017-08-01,2017-08-02,470.7799987792969,EXIT_MA,21852.63651754848,-642066.6268446818,-5.560687945029138,-5.182173668255718,29,42
proxy,SHOP,2017-08-01,10.407999992370605,89.08764785147616,2017-08-02,10.449999809265137,1041406.7387986253,1108097.2838661745,True,9.718499822616577,21765.400443626124,10904465.622256689,,2017-08-03,9.718499822616577,STOP,20241.822412572295,-803796.2383831143,-7.371257485029954,-7.000000000000006,2,1
proxy,ISRG,2017-04-19,89.74444580078125,8.938476004966342,2017-04-20,89.61111450195312,66160.1211109165,126226.27323528142,True,83.3383364868164,11857.36437666685,5940539.552710092,2017-08-04,2017-08-07,103.30110931396484,EXIT_MA,13668.827806207877,880205.5225876383,14.81692891323459,15.277117005071217,75,109
proxy,MCHP,2017-08-04,41.744998931884766,11.827879281107922,2017-08-07,41.790000915527344,277149.7020836987,277149.7020836987,False,38.864700851440425,23164.1726076318,11605250.476423532,2017-08-10,2017-08-11,40.70000076293945,EXIT_MA,22559.98617250996,-347817.37634106167,-2.997069102882912,-2.608279800690061,4,4
proxy,HON,2017-08-04,132.67379760742188,1.7366005171500913,2017-08-07,132.83485412597656,39940.96964914161,87203.4586037128,True,123.53641433715819,10611.105753987566,5316163.982747771,2017-08-18,2017-08-21,127.8420639038086,EXIT_MA,10212.271988531282,-220240.26047066133,-4.142841740499238,-3.7586447134070333,10,14
proxy,NFLX,2017-07-17,16.170000076293945,17.13782685260537,2017-07-18,17.61199951171875,692760.3808710239,692760.3808710239,False,16.379159545898435,24401.790979277135,12225297.280617844,2017-08-25,2017-08-28,16.64299964904785,EXIT_MA,23059.22155142141,-718745.7264585607,-5.879167679611932,-5.50192987472059,29,41
proxy,VRTX,2017-06-21,134.8300018310547,39.47311240722434,2017-06-22,134.64999389648438,63366.69939171852,86170.76429721339,True,125.22449432373045,17064.651372670516,8549390.33770793,2017-09-20,2017-09-21,153.22000122070312,EXIT_MA,19418.09151630208,1140237.3289268073,13.337060116411786,13.791316870385394,63,91
proxy,AMD,2017-09-20,13.739999771118164,15.782737278723003,2017-09-21,14.0,690734.7923178455,877544.5657081757,True,13.02,19340.574184899673,9689627.666634737,,2017-09-25,13.02,STOP,17986.733991956695,-714247.404648345,-7.371257485029941,-7.000000000000006,3,4
proxy,META,2017-07-19,164.13999938964844,7.16545073882121,2017-07-20,164.8000030517578,70955.09885216522,70955.09885216522,False,153.26400283813476,23386.80101474921,11716787.308389354,2017-09-25,2017-09-26,164.5,EXIT_MA,23344.227522362355,-68017.77473053895,-0.5805155708667463,-0.1820406833752286,47,68
proxy,MSFT,2017-07-20,74.22000122070312,4.5930630693842565,2017-07-21,73.44999694824219,157819.98928763706,157819.98928763706,False,68.30849716186523,23183.755463097114,11615061.487011654,2017-09-25,2017-09-26,73.66999816894531,EXIT_MA,23253.19664368638,-11716.361812150106,-0.10087214626673935,0.29952515976026106,46,67
proxy,ADSK,2017-08-25,114.97000122070312,23.19905366555945,2017-08-28,115.05999755859375,99805.185373314,99931.86405298025,True,107.00579772949219,22967.168770777014,11506551.554159284,2017-09-25,2017-09-26,110.58999633789062,EXIT_MA,22074.910169874584,-491171.37939186767,-4.268623636543161,-3.8849307453068582,20,29
proxy,SHOP,2017-08-24,10.652999877929688,72.80947155870767,2017-08-25,10.682999610900879,476060.3204227349,1085672.433412317,True,9.935189638137818,10171.50443568285,5095923.722277108,2017-10-04,2017-10-05,9.753000259399414,EXIT_MA,9286.032857145403,-462193.32656155154,-9.069863517404082,-8.70541407258405,28,41
proxy,ALNY,2017-10-02,122.30999755859375,95.89509955941311,2017-10-03,122.01000213623047,64302.514483923595,99070.70096062505,True,113.46930198669433,15691.099859097018,7861241.0294076055,,2017-10-20,113.46930198669433,STOP,14592.722868960227,-579472.3177964529,-7.371257485029941,-7.000000000000006,14,17
proxy,LRCX,2017-10-20,20.534000396728516,44.93741583924749,2017-10-23,20.621999740600586,352402.01408872945,609132.5138474168,True,19.178459758758542,14534.468486249807,7281768.711611153,,2017-11-29,19.178459758758542,STOP,13517.055692212318,-536757.9211972067,-7.37125748502996,-7.000000000000018,27,37
proxy,ASML,2017-07-14,139.9199981689453,6.026383571337685,2017-07-17,140.4199981689453,80266.57958049231,80266.57958049231,False,130.59059829711913,22542.065915440468,11293575.023635674,2017-11-29,2017-11-30,175.86000061035156,EXIT_MA,28231.36146803242,2793874.3489125036,24.738617692496526,25.238572072025576,96,136
proxy,AMAT,2017-09-27,48.84000015258789,21.68460595494912,2017-09-28,48.91999816894531,241647.344325247,241647.344325247,False,45.49559829711914,23642.77528384316,11845030.417205423,2017-11-29,2017-11-30,53.709999084472656,EXIT_MA,25957.75728494853,1107890.4679838922,9.353209143090362,9.791498558493528,44,63
proxy,NFLX,2017-10-05,19.43899917602539,30.48266560498566,2017-10-06,19.43000030517578,238007.27535850747,622836.4168383153,True,18.069900283813475,9248.962865699712,4633730.395715556,2017-11-29,2017-11-30,19.0310001373291,EXIT_MA,9059.032980066162,-113272.9386625411,-2.444530194662936,-2.053526307667597,38,55
proxy,MU,2017-09-27,37.09000015258789,33.6232742618517,2017-09-28,37.150001525878906,318200.49299444543,318200.49299444543,False,34.54950141906738,23642.297600558137,11844791.097879626,2017-12-01,2017-12-04,41.95000076293945,EXIT_MA,26697.021847769392,1477022.8041573,12.4698088125987,12.920589609442779,46,67
proxy,TTWO,2017-05-23,72.83000183105469,39.42303923925058,2017-05-24,73.76000213623047,162755.06783374507,162755.06783374507,False,68.59680198669433,24009.628302198744,12028823.779401569,2017-12-04,2017-12-05,101.43000030517578,EXIT_MA,33016.49316009133,4446406.3074840065,36.96459761176428,37.513553914817436,135,195
proxy,ISRG,2017-08-15,109.48555755615234,20.521561434591554,2017-08-16,109.5633316040039,102543.0954796233,104963.31276835286,True,101.89389839172362,22469.926347470006,11257433.100082472,2017-12-04,2017-12-05,123.2300033569336,EXIT_MA,25272.77200036868,1353680.1281014998,12.024767245488519,12.473764308596703,77,111
proxy,CSX,2017-11-29,18.14666748046875,3.1606254098802076,2017-11-30,18.489999771118164,705251.3999118679,705251.3999118679,False,17.19569978713989,26080.196445902406,13066178.419397105,,2017-12-18,17.19569978713989,STOP,24254.582694689234,-963141.6547471769,-7.371257485029949,-7.000000000000006,13,18
proxy,SNPS,2017-11-30,90.37999725341797,9.810519142871058,2017-12-01,90.41999816894531,135615.80971771487,142876.556027903,True,84.09059829711913,24524.76253271163,12286906.028888525,2017-12-20,2017-12-21,87.58000183105469,EXIT_MA,23754.465726794864,-433427.6312178876,-3.5275571425290337,-3.140894044903908,14,20
proxy,PYPL,2017-07-12,56.54999923706055,23.409186823971265,2017-07-13,57.29999923706055,198694.98658048533,198694.98658048533,False,53.28899929046631,22770.445158939132,11407993.024628505,2017-12-29,2018-01-02,74.23500061035156,EXIT_MA,29500.244900152247,3312629.1805474665,29.037791076799337,29.5549766121773,119,173
